domain,request_port,cname,origin,origin_port,https,https_port,redirect,custom_host,custom_host_name,AccelerationType
luketest.yewu86.com,80,luketest.yewu86.com.klchemicals.com,http://148.66.62.251,80,True,443,False,True,luke.flywaycdn.com,web
downloadcaca.sms-yunma.com,80,downloadcaca.sms-yunma.com.klchemicals.com,http://test-checkverison.oss-cn-hongkong.aliyuncs.com,80,True,443,False,False,None,web
supplier.calin.com.tw,80,supplier.calin.com.tw.klchemicals.com,https://211.22.137.246,443,False,,False,False,None,web
bear.flywaycdn.com,80,bear.flywaycdn.com.klchemicals.com,https://148.66.62.253,443,True,443,False,False,None,web
luke.flywaycdn.com,80,luke.flywaycdn.com.klchemicals.com,http://148.66.62.251,80,True,443,False,False,None,web
v.bitcorecoin.com,80,v.bitcorecoin.com.klchemicals.com,http://148.66.62.251,80,False,,False,False,None,web
fish.flywaycdn.com,80,fish.flywaycdn.com.klchemicals.com,http://148.66.62.251,80,False,,False,False,None,api
service.jktarots.com,80,service.jktarots.com.klchemicals.com,https://220.135.28.76,443,True,443,False,False,None,web
lab2-danny.niubo600.com,80,lab2-danny.niubo600.com.klchemicals.com,http://220.135.28.76,80,True,443,False,False,None,web
testcdn5566.bitcorecoin.com,"80,88",testcdn5566.bitcorecoin.com.klchemicals.com,https://kevin.a8cdn.com,80,True,"443,8443,8444,8445",False,False,None,websocket
test78.bitcorecoin.com,80,test78.bitcorecoin.com.klchemicals.com,http://kevin.a8cdn.com,80,True,443,False,False,None,web
test52055661.bitcorecoin.com,80,test52055661.bitcorecoin.com.klchemicals.com,http://cdn-ops-1.cdnvips.net,80,True,443,False,False,None,web
ssl.bitcorecoin.com,80,ssl.bitcorecoin.com.a8cdn.net,http://kevin.a8cdn.com,80,True,443,False,False,None,web
testcdn55663344.bitcorecoin.com,80,testcdn55663344.bitcorecoin.com.a8cdn.net,http://kevin.a8cdn.com,80,False,,False,False,None,web
testbacksource.cdnvips.net,80,testbacksource.cdnvips.net.a8cdn.net,http://kevin.a8cdn.com,80,False,,False,False,None,web
test998877.bitcorecoin.com,80,test998877.bitcorecoin.com.a8cdn.net,http://kevin.a8cdn.com,80,False,,False,False,None,web
*.hmpay98.com,80,*.hmpay98.com.klchemicals.com,http://8.210.247.29,80,True,443,False,False,None,web
rose.flywaycdn.com,80,rose.flywaycdn.com.klchemicals.com,https://148.66.62.251,443,True,443,False,False,None,web
chris.niubo188.com,80,chris.niubo188.com.klchemicals.com,http://chris.flywaycdn.com,80,False,,False,True,chris.flywaycdn.com,web
tree.bitcorecoin.com,80,tree.bitcorecoin.com.klchemicals.com,http://13.70.31.133,80,False,,False,False,None,small_file
test55667788.bitcorecoin.com,80,test55667788.bitcorecoin.com.klchemicals.com,http://cdn-ops-1.cdnvips.net,80,True,443,False,False,None,web
testfish.bitcorecoin.com,80,testfish.bitcorecoin.com.klchemicals.com,http://844c6.171print.com/1ICJ,,False,,True,False,None,web
wq.abc.com,80,wq.abc.com.klchemicals.com,http://1.1.1.1,80,False,,False,False,None,api
testcert2.bitcorecoin.com,80,testcert2.bitcorecoin.com.klchemicals.com,http://kevin.mlytics.me,52099,True,443,False,False,None,websocket
testcert1.bitcorecoin.com,80,testcert1.bitcorecoin.com.klchemicals.com,http://kevin.mlytics.me,52099,True,"8443,443",False,False,None,web
auto1.bitcorecoin.com,80,auto1.bitcorecoin.com.klchemicals.com,http://cdn-ops-1.cdnvips.net,80,True,443,False,False,None,web
kc.cdnvips.net,80,kc.cdnvips.net.klchemicals.com,http://kevin.mlytics.me,52099,True,8444,False,False,None,web
prodtest.cdnvips.net,80,prodtest.cdnvips.net.klchemicals.com,http://kevin.mlytics.me,52099,True,8443,False,False,None,web
test55667.bitcorecoin.com,80,test55667.bitcorecoin.com.klchemicals.com,https://cdn-ops-1.cdnvips.net,80,False,,False,False,None,web
abc.com,80,abc.com.klchemicals.com,https://客戶.com,,False,,False,False,None,web
v25.bitcorecoin.com,80,v25.bitcorecoin.com.klchemicals.com,http://kevin.a8cdn.com,80,True,443,False,False,None,web
cq.vips.net,80,cq.vips.net.klchemicals.com,https://47.241.73.106,80,False,,False,False,None,web
test7788.bitcorecoin.com,80,test7788.bitcorecoin.com.klchemicals.com,http://kevin.a8cdn.com,80,True,443,False,False,None,web
*.bitcorecoin.com,80,*.bitcorecoin.com.klchemicals.com,http://kevin.a8cdn.com,80,True,443,False,False,None,web
testcdn3.bitcorecoin.com,8888,testcdn3.bitcorecoin.com.klchemicals.com,http://kevin.mlytics.me,52099,False,,True,False,None,web
auto2.bitcorecoin.com,80,auto2.bitcorecoin.com.klchemicals.com,http://cdn-ops-1.cdnvips.net,80,True,443,False,False,None,web
prodtest4.cdnvips.net,80,prodtest4.cdnvips.net.klchemicals.com,http://kevin.mlytics.me,52099,False,,False,False,None,web
prodtest3.cdnvips.net,80,prodtest3.cdnvips.net.klchemicals.com,http://kevin.mlytics.me,52099,False,,False,False,None,web
prodtest2.cdnvips.net,80,prodtest2.cdnvips.net.klchemicals.com,http://kevin.mlytics.me,52099,False,,False,False,None,web
